,Survived,Age,Fare,FamilyCount,Pclass_1,Pclass_2,Pclass_3,Sex_female,Sex_male,Embarked_Cherbourg,Embarked_Queenstown,Embarked_Southampton
484,1,25.0,91.0792,1,1,0,0,0,1,1,0,0
486,1,35.0,90.0,1,1,0,0,1,0,0,0,1
487,0,58.0,29.7,0,1,0,0,0,1,1,0,0
488,0,30.0,8.05,0,0,0,1,0,1,0,0,1
489,1,9.0,15.9,2,0,0,1,0,1,0,0,1
491,0,21.0,7.25,0,0,0,1,0,1,0,0,1
492,0,55.0,30.5,0,1,0,0,0,1,0,0,1
493,0,71.0,49.5042,0,1,0,0,0,1,1,0,0
494,0,21.0,8.05,0,0,0,1,0,1,0,0,1
496,1,54.0,78.2667,1,1,0,0,1,0,1,0,0
498,0,25.0,151.55,3,1,0,0,1,0,0,0,1
499,0,24.0,7.7958,0,0,0,1,0,1,0,0,1
500,0,17.0,8.6625,0,0,0,1,0,1,0,0,1
501,0,21.0,7.75,0,0,0,1,1,0,0,1,0
503,0,37.0,9.5875,0,0,0,1,1,0,0,0,1
504,1,16.0,86.5,0,1,0,0,1,0,0,0,1
505,0,18.0,108.9,1,1,0,0,0,1,1,0,0
506,1,33.0,26.0,2,0,1,0,1,0,0,0,1
508,0,28.0,22.525,0,0,0,1,0,1,0,0,1
509,1,26.0,56.4958,0,0,0,1,0,1,0,0,1
510,1,29.0,7.75,0,0,0,1,0,1,0,1,0
512,1,36.0,26.2875,0,1,0,0,0,1,0,0,1
513,1,54.0,59.4,1,1,0,0,1,0,1,0,0
514,0,24.0,7.4958,0,0,0,1,0,1,0,0,1
515,0,47.0,34.0208,0,1,0,0,0,1,0,0,1
516,1,34.0,10.5,0,0,1,0,1,0,0,0,1
518,1,36.0,26.0,1,0,1,0,1,0,0,0,1
519,0,32.0,7.8958,0,0,0,1,0,1,0,0,1
520,1,30.0,93.5,0,1,0,0,1,0,0,0,1
521,0,22.0,7.8958,0,0,0,1,0,1,0,0,1
523,1,44.0,57.9792,1,1,0,0,1,0,1,0,0
525,0,40.5,7.75,0,0,0,1,0,1,0,1,0
526,1,50.0,10.5,0,0,1,0,1,0,0,0,1
528,0,39.0,7.925,0,0,0,1,0,1,0,0,1
529,0,23.0,11.5,3,0,1,0,0,1,0,0,1
530,1,2.0,26.0,2,0,1,0,1,0,0,0,1
532,0,17.0,7.2292,2,0,0,1,0,1,1,0,0
534,0,30.0,8.6625,0,0,0,1,1,0,0,0,1
535,1,7.0,26.25,2,0,1,0,1,0,0,0,1
536,0,45.0,26.55,0,1,0,0,0,1,0,0,1
537,1,30.0,106.425,0,1,0,0,1,0,1,0,0
539,1,22.0,49.5,2,1,0,0,1,0,1,0,0
540,1,36.0,71.0,2,1,0,0,1,0,0,0,1
541,0,9.0,31.275,6,0,0,1,1,0,0,0,1
542,0,11.0,31.275,6,0,0,1,1,0,0,0,1
543,1,32.0,26.0,1,0,1,0,0,1,0,0,1
544,0,50.0,106.425,1,1,0,0,0,1,1,0,0
545,0,64.0,26.0,0,1,0,0,0,1,0,0,1
546,1,19.0,26.0,1,0,1,0,1,0,0,0,1
548,0,33.0,20.525,2,0,0,1,0,1,0,0,1
549,1,8.0,36.75,2,0,1,0,0,1,0,0,1
550,1,17.0,110.8833,2,1,0,0,0,1,1,0,0
551,0,27.0,26.0,0,0,1,0,0,1,0,0,1
553,1,22.0,7.225,0,0,0,1,0,1,1,0,0
554,1,22.0,7.775,0,0,0,1,1,0,0,0,1
555,0,62.0,26.55,0,1,0,0,0,1,0,0,1
556,1,48.0,39.6,1,1,0,0,1,0,1,0,0
558,1,39.0,79.65,2,1,0,0,1,0,0,0,1
559,1,36.0,17.4,1,0,0,1,1,0,0,0,1
561,0,40.0,7.8958,0,0,0,1,0,1,0,0,1
562,0,28.0,13.5,0,0,1,0,0,1,0,0,1
565,0,24.0,24.15,2,0,0,1,0,1,0,0,1
566,0,19.0,7.8958,0,0,0,1,0,1,0,0,1
567,0,29.0,21.075,4,0,0,1,1,0,0,0,1
569,1,32.0,7.8542,0,0,0,1,0,1,0,0,1
570,1,62.0,10.5,0,0,1,0,0,1,0,0,1
571,1,53.0,51.4792,2,1,0,0,1,0,0,0,1
572,1,36.0,26.3875,0,1,0,0,0,1,0,0,1
574,0,16.0,8.05,0,0,0,1,0,1,0,0,1
575,0,19.0,14.5,0,0,0,1,0,1,0,0,1
576,1,34.0,13.0,0,0,1,0,1,0,0,0,1
